label,file_name,number_of_files,ratio_of_files,number_of_files_rare,number_of_files_new,ratio_of_files_new
accruals and deferred income,"['07314921_2018-06-21' '05305200_2018-11-27' '02559683_2018-05-09'
 'SC503875_2018-05-04' '05157431_2018-06-06' '06989049_2018-05-01'
 '05468650_2017-11-15' '07068932_2018-05-31' '04155448_2018-11-26'
 '09380893_2018-05-24' '09708034_2018-05-22' '09819650_2018-05-31'
 '08814444_2018-09-10' '08252329_2019-01-18' '08455384_2018-10-25'
 '05824628_2018-10-16' '09783674_2018-12-21' '05032067_2018-10-15'
 '05529094_2017-11-24' '09926174_2019-02-01' '10129537_2018-07-12'
 '06775822_2018-09-28' '04638871_2018-08-30' '07076803_2018-05-24'
 '04571349_2018-06-25' '08400096_2018-02-02' '08627608_2018-04-27'
 '06928061_2019-01-07' '09594612_2018-02-13' '04837764_2018-06-19'
 '08857138_2018-10-30']",31,0.06126482213438735,1,32,0.06324110671936758
amounts falling due after more than one year,"['05549284_2018-04-05' '01246756_2018-12-28' '08524615_2018-09-17'
 '06350263_2018-05-31' '04905451_2018-06-29' '00410453_2018-09-03'
 '03898654_2018-02-08' '10461295_2018-08-06' '10819660_2018-09-20'
 'SC315245_2017-11-13' '03988201_2018-05-23' '09001323_2017-11-23']",12,0.023715415019762844,8,20,0.039525691699604744
amounts falling due within one year,"['02723119_2018-07-10' '07987664_2018-11-22' '05549284_2018-04-05'
 '08774049_2018-03-16' '08908626_2018-05-11' '09232066_2018-05-08'
 '02215326_2017-10-23' '09303330_2018-03-15' '10340513_2018-05-22'
 '03559112_2018-12-18' '10208054_2018-06-27' 'SC215880_2018-08-16'
 '01234173_2018-02-21' '06734246_2018-04-25' '01246756_2018-12-28'
 '10715930_2018-12-20' '08524615_2018-09-17' 'SC470463_2018-11-30'
 '09091904_2018-05-14' '06350263_2018-05-31' '04905451_2018-06-29'
 '06377386_2018-09-21' '00904957_2018-09-13' '07210595_2018-10-05'
 '05177605_2018-10-04' '03708614_2018-07-03' '03440203_2019-02-07'
 'SC336085_2019-01-03' '07221470_2019-01-09' '02277759_2018-12-03'
 '09769485_2019-01-28' '07876754_2018-12-12' '00410453_2018-09-03'
 '10545484_2018-09-06' '10716911_2019-01-22' '04817286_2017-11-29'
 '00688455_2018-10-10' '04595098_2018-06-20' '01233445_2018-07-23'
 'OC324745_2018-09-17' '04911695_2018-02-01' '08199321_2018-06-14'
 'SC425845_2018-08-08' '01902690_2019-01-08' '04999616_2017-08-01'
 'SC062350_2019-01-30' '06559854_2019-01-17' '10461295_2018-08-06'
 '01774753_2018-12-19' '01581736_2018-10-02' '06995435_2018-07-02'
 '07183803_2018-12-12' 'SC505813_2018-05-31' '08323655_2018-10-02'
 '07692515_2017-04-29' '07200267_2018-12-21' 'SC315245_2017-11-13'
 '03988201_2018-05-23' '09070307_2018-12-18' '04709905_2018-10-16'
 '09372240_2019-01-09' '09001323_2017-11-23' '03320318_2018-09-19'
 '05230931_2018-05-21']",64,0.12648221343873517,4,68,0.13438735177865613
called up share capital,"['04578942_2018-09-10' '10339765_2018-05-21' '07508665_2018-04-04'
 '02736280_2018-01-18' '09360896_2018-05-21' '02723119_2018-07-10'
 '01625851_2018-10-26' '07987664_2018-11-22' '06245930_2018-02-02'
 '08658092_2018-07-10' '01848334_2018-11-19' '04192928_2018-10-21'
 '05549284_2018-04-05' '08257555_2018-11-01' 'SC530730_2018-12-07'
 '03799358_2018-08-20' '09104588_2018-12-28' '05017650_2018-09-13'
 '00506612_2018-09-26' '10281039_2018-04-25' '01557781_2019-01-24'
 '09877836_2018-10-08' '08774049_2018-03-16' '08512069_2018-07-11'
 '08908626_2018-05-11' '03551533_2018-10-07' '07025669_2018-01-09'
 '02676624_2018-09-28' '02215326_2017-10-23' '04848475_2018-10-06'
 '09683278_2018-05-31' '05241678_2018-01-22' '06646629_2018-07-17'
 'SC312228_2018-09-10' '01684721_2018-05-24' '02031807_2018-03-21'
 '00645015_2019-01-03' '01205530_2018-04-04' '05445922_2017-09-30'
 '09940236_2018-10-06' '01581154_2018-07-24' '04176450_2018-12-07'
 '03824389_2018-09-10' '10557156_2018-10-01' '01580851_2018-01-29'
 '02555553_2017-03-20' '06223740_2018-10-22' 'SC211905_2018-05-04'
 '08491028_2018-08-03' '07238703_2019-02-05' '02865602_2018-06-20'
 '02567814_2018-12-21' '05219123_2018-08-13' '10208054_2018-06-27'
 'SC215880_2018-08-16' '07219146_2018-10-06' '06024424_2018-09-17'
 '09586207_2019-01-12' '04779767_2018-09-24' '02641437_2019-01-02'
 '06734246_2018-04-25' '02683337_2018-12-31' '05292814_2018-07-04'
 '09869872_2019-01-22' '04107434_2018-03-22' '03085506_2018-06-27'
 '09165062_2018-08-30' '06540708_2018-04-03' 'SC272499_2018-04-17'
 '01246756_2018-12-28' '08337863_2018-05-03' '10529515_2018-09-10'
 '04915241_2018-09-05' '04609439_2018-06-06' '03830932_2018-08-16'
 '09135113_2018-01-05' '04283540_2018-04-26' '06476929_2018-08-08'
 '04425595_2018-07-10' '08238988_2018-10-31' '05542048_2018-09-20'
 '05407505_2018-10-02' 'NI613113_2018-09-14' '06363165_2018-03-07'
 '08948605_2018-08-16' '08524615_2018-09-17' '09277272_2017-01-20'
 '08673651_2018-09-18' '04103548_2018-08-14' '05865264_2018-12-14'
 '03976947_2018-05-24' '07275849_2018-10-12' '00757019_2018-11-15'
 '05355799_2018-08-08' '07444976_2018-12-27' '09708034_2018-05-22'
 '09091904_2018-05-14' '06350263_2018-05-31' '09125604_2018-04-19'
 '08941680_2018-07-03' '04191036_2018-04-10' '06377386_2018-09-21'
 '00904957_2018-09-13' '04744688_2018-08-13' '07291750_2018-05-03'
 'NI625203_2017-08-29' '08464812_2019-01-07' '00854266_2018-09-26'
 '01500876_2018-09-30' '03010158_2018-08-08' '05177605_2018-10-04'
 '02670424_2018-03-06' 'SC381770_2018-09-27' '03074921_2018-09-28'
 '01551487_2018-06-29' '09669202_2018-04-09' '03708614_2018-07-03'
 '01167325_2018-10-06' '03440203_2019-02-07' '06873409_2019-01-22'
 '07100402_2018-07-31' '01713181_2018-12-12' '02688973_2018-12-21'
 '03843550_2018-12-20' '09164548_2018-01-08' '04729479_2018-10-15'
 '09769485_2019-01-28' '06912932_2019-01-28' '00500613_2018-05-25'
 '00410453_2018-09-03' '05783050_2018-04-06' '04544159_2019-01-14'
 '09947841_2018-11-07' '05351022_2018-09-18' '04817286_2017-11-29'
 '09827589_2018-12-19' '05216450_2018-11-16' '03216059_2018-07-24'
 '09905204_2019-01-28' '05121287_2018-03-27' '00688455_2018-10-10'
 '01435665_2018-05-09' '04750335_2019-01-18' '04595098_2018-06-20'
 '06288859_2018-06-26' '01233445_2018-07-23' '10694121_2018-07-16'
 '03013552_2018-06-13' '04911695_2018-02-01' '05218852_2019-02-08'
 '01902690_2019-01-08' 'NI020853_2018-05-15' '09514102_2019-01-03'
 '03411833_2018-10-08' '09518150_2018-05-15' '07660688_2018-09-21'
 '08500163_2018-12-19' 'SC062350_2019-01-30' '06749253_2019-01-03'
 '08183811_2018-12-28' '05989934_2018-10-04' '03800292_2018-03-08'
 '06995435_2018-07-02' '03972790_2019-01-15' '07183803_2018-12-12'
 '04126929_2018-07-17' 'SC215503_2018-09-25' 'SC031515_2018-09-12'
 '07878925_2018-05-11' 'SC505813_2018-05-31' '09834474_2018-09-05'
 '02599961_2019-02-04' '02671511_2018-03-22' '04571349_2018-06-25'
 '09885382_2018-10-04' '09565689_2018-05-27' '10379866_2018-09-19'
 '02027689_2018-10-01' '09482576_2019-01-04' '06117316_2018-08-10'
 '00877137_2018-09-30' '04730594_2019-02-05' '07692515_2017-04-29'
 '05242411_2018-03-21' '06755267_2018-12-13' '05859829_2018-12-06'
 '10072143_2018-12-22' '07564261_2018-12-18' '04067971_2018-05-21'
 '03612400_2018-06-01' '04567806_2018-12-18' '08401600_2018-04-06'
 '01146564_2018-11-22' '10049791_2018-01-26' '08217483_2018-12-24'
 'SC392607_2018-01-15' '02197238_2018-10-04' '03778193_2018-09-13'
 '09187690_2018-10-03' '02860394_2018-06-06' '03988201_2018-05-23'
 '02119606_2018-07-31' '08627608_2018-04-27' '09058573_2017-06-27'
 '01291565_2018-10-17' '09954672_2018-10-02' '09070307_2018-12-18'
 '02734059_2018-06-21' 'SC038800_2018-06-22' '08614121_2017-06-29'
 '09606891_2019-01-08' '09782845_2018-09-17' '04317894_2018-06-11'
 '01912551_2018-05-24' '02478328_2018-09-30' '01675457_2018-06-26'
 '03808852_2018-10-03' '03123932_2018-05-24' '09256949_2018-09-30'
 '08056186_2017-04-27' '08456856_2018-12-17' '09001323_2017-11-23'
 '01050578_2018-11-07' '03009426_2018-05-08' '10883160_2018-10-05'
 '10089373_2017-12-28' '07792956_2018-09-24' 'SC406554_2018-10-03'
 '09154504_2017-06-16']",229,0.4525691699604743,17,246,0.48616600790513836
capital and reserves,"['09946357_2018-10-11' '04210567_2018-06-13' '06551042_2017-09-29'
 '02480303_2018-09-25' '07314921_2018-06-21' '02559683_2018-05-09'
 '09831466_2018-09-13' 'SC503875_2018-05-04' '05738042_2018-10-12'
 '05157431_2018-06-06' '07909379_2018-12-11' '05468650_2017-11-15'
 '07068932_2018-05-31' '04155448_2018-11-26' '07623258_2019-02-05'
 '00696473_2018-09-14' '06985246_2018-06-06' '05750738_2018-07-13'
 '09669697_2018-09-25' '06871487_2018-07-19' '09934732_2018-09-17'
 '09542334_2019-01-29' '09819650_2018-05-31' '02572448_2018-10-31'
 '08814444_2018-09-10' '06244683_2018-09-13' '05026996_2018-08-15'
 '08252329_2019-01-18' '03128528_2018-05-30' '08455384_2018-10-25'
 '05560206_2018-05-17' '05824628_2018-10-16' '07876754_2018-12-12'
 '05259054_2018-05-31' '09783674_2018-12-21' '05032067_2018-10-15'
 '09569080_2019-01-24' '05529094_2017-11-24' '05890653_2018-05-27'
 '09926174_2019-02-01' '09613324_2018-10-26' '08199321_2018-06-14'
 'SC472836_2018-10-31' '06775822_2018-09-28' '04638871_2018-08-30'
 '06786096_2018-11-29' '03901367_2017-08-29' '07076803_2018-05-24'
 '08400096_2018-02-02' '04119246_2018-04-03' '07162861_2018-11-06'
 '08446267_2018-12-13' '08627608_2018-04-27' '06928061_2019-01-07'
 '04709905_2018-10-16' '09594612_2018-02-13' '05230931_2018-05-21'
 '08857138_2018-10-30']",58,0.11462450592885376,3,61,0.12055335968379446
capital redemption reserve,"['02736280_2018-01-18' '01581154_2018-07-24' '02555553_2017-03-20'
 '02641437_2019-01-02' '02683337_2018-12-31' '02552255_2018-10-15'
 '01551487_2018-06-29' '03063532_2017-09-26' '03778193_2018-09-13']",9,0.017786561264822136,1,10,0.019762845849802372
cash and cash equivalents,"['00851110_2018-10-07' '07427985_2018-08-22' 'OC338682_2018-11-07'
 '09964777_2018-08-15' '03827293_2018-08-21' '07660688_2018-09-21'
 '03972790_2019-01-15' '08708339_2018-05-16']",8,0.015810276679841896,5,13,0.025691699604743084
cash at bank,"['08804092_2018-08-15' '01557781_2019-01-24' '08908626_2018-05-11'
 'SC312228_2018-09-10' '09303330_2018-03-15' '01205530_2018-04-04'
 '02865602_2018-06-20' '10208054_2018-06-27' '01386096_2018-06-07'
 '01534691_2018-02-12' '05542048_2018-09-20' '06350263_2018-05-31'
 '02712039_2017-10-06' '03708614_2018-07-03' '03440203_2019-02-07'
 '09164548_2018-01-08' '07221470_2019-01-09' '09769485_2019-01-28'
 '00410453_2018-09-03' '00688455_2018-10-10' 'OC324745_2018-09-17'
 '04911695_2018-02-01' 'SC425845_2018-08-08' '06559854_2019-01-17'
 '06995435_2018-07-02' '05447878_2017-05-12' 'SC505813_2018-05-31'
 '06755267_2018-12-13' '03988201_2018-05-23' '09070307_2018-12-18'
 '09001323_2017-11-23']",31,0.06126482213438735,2,33,0.06521739130434782
cash at bank and in hand,"['06757157_2018-08-15' '04578942_2018-09-10' 'NC000295_2018-12-19'
 '07508665_2018-04-04' '09727421_2018-05-07' '02736280_2018-01-18'
 '06638282_2018-05-10' '09360896_2018-05-21' '06199992_2018-05-11'
 '07987664_2018-11-22' '08658092_2018-07-10' '01848334_2018-11-19'
 '08342128_2018-09-28' '04192928_2018-10-21' '05549284_2018-04-05'
 '05477483_2018-08-07' '08257555_2018-11-01' '01836313_2018-09-30'
 '09104588_2018-12-28' '05017650_2018-09-13' '09877836_2018-10-08'
 '03551533_2018-10-07' '07025669_2018-01-09' 'OC342862_2018-10-24'
 '04848475_2018-10-06' '09683278_2018-05-31' '06646629_2018-07-17'
 '01684721_2018-05-24' '00701225_2018-10-23' '00645015_2019-01-03'
 '06800135_2018-11-08' '05445922_2017-09-30' '09578463_2017-06-05'
 '06516481_2018-05-30' '08066742_2018-09-12' '07491176_2018-09-14'
 '01580851_2018-01-29' '02555553_2017-03-20' '06223740_2018-10-22'
 'SC211905_2018-05-04' '09976915_2018-05-14' '08491028_2018-08-03'
 '07238703_2019-02-05' '02567814_2018-12-21' '01346397_2018-12-14'
 '01234173_2018-02-21' '02442769_2017-01-30' '07773187_2018-11-14'
 '07428157_2018-09-20' '09469412_2019-01-05' '03247348_2018-05-29'
 '03209358_2018-09-28' '06734246_2018-04-25' '02683337_2018-12-31'
 '09869872_2019-01-22' '08282435_2018-04-11' 'OC347970_2018-08-02'
 'OC341283_2018-09-11' '09165062_2018-08-30' 'OC365965_2017-08-15'
 '06540708_2018-04-03' 'SC272499_2018-04-17' '07228603_2019-01-05'
 '01246756_2018-12-28' '08337863_2018-05-03' '04915241_2018-09-05'
 '04609439_2018-06-06' 'SC226980_2018-05-04' '04283540_2018-04-26'
 '08699242_2017-04-06' '06476929_2018-08-08' '04425595_2018-07-10'
 '08238988_2018-10-31' '05407505_2018-10-02' '09148650_2017-08-24'
 '09789710_2018-05-12' 'NI613113_2018-09-14' '08948605_2018-08-16'
 'OC383149_2018-12-17' '09277272_2017-01-20' '08673651_2018-09-18'
 '03976947_2018-05-24' '07275849_2018-10-12' '00757019_2018-11-15'
 '05355799_2018-08-08' '09125604_2018-04-19' '06512269_2018-05-24'
 '00904957_2018-09-13' '06994779_2019-01-10' '07291750_2018-05-03'
 'NI625203_2017-08-29' '08635571_2018-05-18' '03355916_2018-03-16'
 '08464812_2019-01-07' '00854266_2018-09-26' '01500876_2018-09-30'
 '03010158_2018-08-08' 'OC412019_2019-02-08' 'SC381770_2018-09-27'
 'NI617191_2018-05-14' 'OC383390_2018-12-09' '01551487_2018-06-29'
 '01167325_2018-10-06' '06873409_2019-01-22' '02688973_2018-12-21'
 '06203212_2018-12-12' '02277759_2018-12-03' '04309557_2018-12-21'
 '06912932_2019-01-28' '08205725_2018-12-14' '05783050_2018-04-06'
 '04544159_2019-01-14' '09947841_2018-11-07' '03936983_2018-07-17'
 'SC281238_2018-11-27' '07987156_2018-12-19' '09905204_2019-01-28'
 '01435665_2018-05-09' '04750335_2019-01-18' '03828538_2018-06-07'
 '04001138_2018-03-07' '10694121_2018-07-16' '03013552_2018-06-13'
 '05218852_2019-02-08' '01902690_2019-01-08' '09940646_2018-10-25'
 'NI020853_2018-05-15' '09518150_2018-05-15' '03118854_2017-06-09'
 '06749253_2019-01-03' '01894501_2018-11-19' '08868378_2018-11-21'
 '06015649_2018-09-30' 'SC215503_2018-09-25' '07358920_2018-05-11'
 '09834474_2018-09-05' '06381573_2018-09-25' '02599961_2019-02-04'
 '02671511_2018-03-22' '04571349_2018-06-25' '09885382_2018-10-04'
 '09565689_2018-05-27' 'OC363306_2018-12-24' '02027689_2018-10-01'
 '04925061_2018-08-16' '08287045_2018-11-20' '06117316_2018-08-10'
 '00877137_2018-09-30' '07692515_2017-04-29' '07200267_2018-12-21'
 '04899353_2018-05-23' '09603572_2017-09-20' '06054549_2018-10-19'
 '10072143_2018-12-22' '07564261_2018-12-18' '03612400_2018-06-01'
 '04567806_2018-12-18' '08401600_2018-04-06' '08217483_2018-12-24'
 '03778193_2018-09-13' '09187690_2018-10-03' '02860394_2018-06-06'
 'OC353820_2018-08-21' '09058573_2017-06-27' '01291565_2018-10-17'
 '05403974_2018-05-23' '09954672_2018-10-02' '02734059_2018-06-21'
 '06041876_2018-09-10' 'SC038800_2018-06-22' '09027292_2019-02-13'
 '08614121_2017-06-29' '09782845_2018-09-17' '07861414_2018-09-28'
 '03725162_2018-12-13' '01912551_2018-05-24' '02478328_2018-09-30'
 '01675457_2018-06-26' '09256949_2018-09-30' '05476131_2018-07-10'
 '08056186_2017-04-27' '06403212_2019-01-02' '08456856_2018-12-17'
 '10883160_2018-10-05' 'OC345647_2018-05-15' '03320318_2018-09-19'
 'SC094096_2018-10-03' '08955915_2018-12-27']",188,0.3715415019762846,7,195,0.38537549407114624
creditors amounts falling due after more than one year,"['05457103_2018-08-10' '06757157_2018-08-15' '05477483_2018-08-07'
 '08257555_2018-11-01' '03799358_2018-08-20' '02193829_2018-09-21'
 '07314921_2018-06-21' 'OC352633_2018-11-07' 'OC412450_2018-02-19'
 '02559683_2018-05-09' '07025669_2018-01-09' '01684721_2018-05-24'
 '00645015_2019-01-03' '05445922_2017-09-30' '01581154_2018-07-24'
 '01580851_2018-01-29' '06223740_2018-10-22' '08296561_2019-01-21'
 '09976915_2018-05-14' '08491028_2018-08-03' '05219123_2018-08-13'
 '10472854_2018-10-04' '03085506_2018-06-27' '04283540_2018-04-26'
 '08238988_2018-10-31' '05407505_2018-10-02' 'NI613113_2018-09-14'
 '08673651_2018-09-18' '06871487_2018-07-19' '10856080_2019-01-07'
 '06244683_2018-09-13' '03355916_2018-03-16' '03010158_2018-08-08'
 '06436404_2018-05-15' '04309557_2018-12-21' '05783050_2018-04-06'
 'SC281238_2018-11-27' '04750335_2019-01-18' '05218852_2019-02-08'
 'SC472836_2018-10-31' '03118854_2017-06-09' '06749253_2019-01-03'
 'SC215503_2018-09-25' '09565689_2018-05-27' '06117316_2018-08-10'
 '05242411_2018-03-21' 'SC392607_2018-01-15' '09027292_2019-02-13'
 '06928061_2019-01-07' '07861414_2018-09-28' '04947762_2018-08-13']",51,0.1007905138339921,14,65,0.12845849802371542
creditors amounts falling due within one year,"['05457103_2018-08-10' '06757157_2018-08-15' '04578942_2018-09-10'
 '07508665_2018-04-04' '02736280_2018-01-18' '06551042_2017-09-29'
 '06638282_2018-05-10' '08658092_2018-07-10' '01848334_2018-11-19'
 '10796182_2018-11-13' '04192928_2018-10-21' '05477483_2018-08-07'
 '08257555_2018-11-01' '01836313_2018-09-30' '03799358_2018-08-20'
 '09104588_2018-12-28' '05017650_2018-09-13' '02193829_2018-09-21'
 '10281039_2018-04-25' '01557781_2019-01-24' '02480303_2018-09-25'
 '07314921_2018-06-21' 'OC352633_2018-11-07' '03551533_2018-10-07'
 'OC412450_2018-02-19' 'OC342862_2018-10-24' '04848475_2018-10-06'
 'SC503875_2018-05-04' '06646629_2018-07-17' 'OC312612_2018-10-24'
 'SC312228_2018-09-10' '01684721_2018-05-24' '00701225_2018-10-23'
 '00645015_2019-01-03' '05738042_2018-10-12' '01205530_2018-04-04'
 '06800135_2018-11-08' '01581154_2018-07-24' '06516481_2018-05-30'
 '08066742_2018-09-12' '10625857_2018-11-15' '04176450_2018-12-07'
 '01580851_2018-01-29' '02555553_2017-03-20' 'SC211905_2018-05-04'
 '09976915_2018-05-14' '08491028_2018-08-03' '05468650_2017-11-15'
 '07238703_2019-02-05' '07068932_2018-05-31' '01346397_2018-12-14'
 '04155448_2018-11-26' '05983990_2019-02-04' '05219123_2018-08-13'
 '01850583_2018-07-09' '02442769_2017-01-30' '00696473_2018-09-14'
 '06985246_2018-06-06' '03209358_2018-09-28' '04779767_2018-09-24'
 '11060238_2019-02-07' '02641437_2019-01-02' '02683337_2018-12-31'
 '10342870_2018-05-23' '05750738_2018-07-13' '10472854_2018-10-04'
 '08282435_2018-04-11' '04107434_2018-03-22' 'OC341283_2018-09-11'
 '09165062_2018-08-30' '06540708_2018-04-03' '09380893_2018-05-24'
 '07228603_2019-01-05' '10385861_2019-01-02' '10254825_2018-03-29'
 '04915241_2018-09-05' '04609439_2018-06-06' 'SC226980_2018-05-04'
 '04283540_2018-04-26' '06476929_2018-08-08' '04425595_2018-07-10'
 '08238988_2018-10-31' '05407505_2018-10-02' '09789710_2018-05-12'
 'NI613113_2018-09-14' '10635902_2018-05-22' 'OC383149_2018-12-17'
 '08673651_2018-09-18' '06871487_2018-07-19' '09934732_2018-09-17'
 '09542334_2019-01-29' '07275849_2018-10-12' '00757019_2018-11-15'
 '05355799_2018-08-08' '09708034_2018-05-22' '09819650_2018-05-31'
